I min -	I min -	I min -	 I min -
I minmaj7 - 	I minmaj7 /V	I minmaj7 -	I minmaj7 /V
VII min9 -	II min9 -	IV min9 - 	I min9 -
IV min9 -	V min9 -	I min9 -	I min9 -
bVI 13sus -	IV 13sus -	V 13sus -	I min9 -
V minb2 -	bVI maj#11 -	IV min -	IV min -
I minb6 -	I minb6 -	I minb6 -	I minb6 -
IV min -	I minb6 - 	IV min -	I minb6 -
I minb6 -	IV min -	I minb6 -	IV min -
I min -	I min /bVII	I min /VI	bVI maj7#11 -
I min -	bVII maj -	bVI maj#11 -	bII maj#11 -
IV min -	V minb6 -	I min -	I min -
I min11 -	I min11 -	I min11 -	I min11 -
I min - 	V 7b6 -	V 7b6 -	I min -
I min11 -	bVII min11 -	I min11 -	VII min11 -
I min -	bVI maj -	bVII maj -	IV min -
I minb6 -	bVII dom7 -	bVI maj7#11 -	bVI minmaj7 -
I min7 -	I min7 -	bIII maj7 -	II min7b6 -
I minb6 -	V minb2 /bVII	bVI maj7#11 -	V minb2 /bVII
I minb6 -	V minb2 /bVII	bVI maj7#11 -	VI min11 -
I minb6 -	bVI maj7#11 -	V minb2 -	IV min -
